timestamp,node_id,scope_visible,source_writer,target_reader,topic,magnitude_id,sequence_id,src_first_seq,src_last_seq,src_sample_count,event_type,lost_messages_detected,seq_gap_detected,recovery_time_ms,latency_mean_us,publication_throughput_Bps,subscription_throughput_Bps,resent_datas,status,notes
2026-05-11T11:44:30Z,final-subscriber,agg,analysis-aggregator,final-subscriber,air_quality_agg,12,3,1,9,9,SAMPLE,,,,2249409,,,,ok,kind=TREND_CHANGE
2026-05-11T11:44:30Z,final-subscriber,raw,pub-mag12,final-subscriber,air_quality_raw_fwd,12,9,,,,SAMPLE,,,,2308404,,,,ok,
2026-05-11T11:44:31Z,final-subscriber,raw,pub-mag01,final-subscriber,air_quality_raw_fwd,1,8,,,,SAMPLE,,,,2387685,,,,ok,
2026-05-11T11:44:31Z,final-subscriber,raw,pub-mag06,final-subscriber,air_quality_raw_fwd,6,10,,,,SAMPLE,,,,2413146,,,,ok,
2026-05-11T11:44:31Z,final-subscriber,raw,pub-mag12,final-subscriber,air_quality_raw_fwd,12,10,,,,SAMPLE,,,,2430611,,,,ok,
2026-05-11T11:44:31Z,final-subscriber,agg,analysis-aggregator,final-subscriber,air_quality_agg,1,3,1,9,9,SAMPLE,,,,2433070,,,,ok,kind=TREND_CHANGE
2026-05-11T11:44:31Z,final-subscriber,raw,pub-mag01,final-subscriber,air_quality_raw_fwd,1,9,,,,SAMPLE,,,,2476139,,,,ok,
2026-05-11T11:44:31Z,final-subscriber,agg,analysis-aggregator,final-subscriber,air_quality_agg,6,3,1,11,11,SAMPLE,,,,2480929,,,,ok,kind=TREND_CHANGE
2026-05-11T11:44:31Z,final-subscriber,agg,analysis-aggregator,final-subscriber,air_quality_agg,1,4,1,10,10,SAMPLE,,,,2485343,,,,ok,kind=TREND_CHANGE
2026-05-11T11:44:31Z,final-subscriber,raw,pub-mag06,final-subscriber,air_quality_raw_fwd,6,11,,,,SAMPLE,,,,2537292,,,,ok,
2026-05-11T11:44:31Z,final-subscriber,raw,pub-mag12,final-subscriber,air_quality_raw_fwd,12,11,,,,SAMPLE,,,,2592464,,,,ok,
2026-05-11T11:44:31Z,final-subscriber,raw,pub-mag01,final-subscriber,air_quality_raw_fwd,1,10,,,,SAMPLE,,,,2632729,,,,ok,
2026-05-11T11:44:31Z,final-subscriber,raw,pub-mag06,final-subscriber,air_quality_raw_fwd,6,12,,,,SAMPLE,,,,2636121,,,,ok,
2026-05-11T11:44:31Z,final-subscriber,raw,pub-mag12,final-subscriber,air_quality_raw_fwd,12,12,,,,SAMPLE,,,,2657578,,,,ok,
2026-05-11T11:44:31Z,final-subscriber,raw,pub-mag01,final-subscriber,air_quality_raw_fwd,1,11,,,,SAMPLE,,,,2691523,,,,ok,
2026-05-11T11:44:31Z,final-subscriber,raw,pub-mag06,final-subscriber,air_quality_raw_fwd,6,13,,,,SAMPLE,,,,2708362,,,,ok,
