timestamp,node_id,scope_visible,topic,source_writer,target_reader,metric,value,unit,status,notes
2026-04-17T12:15:31Z,monitor,topic,air_quality_agg,aggregated_writers,aggregated_readers,latency_mean_us,7046.353183,us,mixto(finito+NaN),writers=1 readers=1
2026-04-17T12:15:31Z,monitor,topic,air_quality_agg,aggregated_writers,-,publication_throughput_sum_Bps,48305.265815,B/s,mixto(finito+NaN),n_writers=1
2026-04-17T12:15:31Z,monitor,topic,air_quality_agg,-,aggregated_readers,subscription_throughput_sum_Bps,38982.979372,B/s,mixto(finito+NaN),n_readers=1
2026-04-17T12:15:31Z,monitor,topic,air_quality_agg,aggregated_writers,-,resent_datas_sum,,packets,NaN,n_writers=1
2026-04-17T12:15:31Z,monitor,topic,air_quality_raw_fwd,aggregated_writers,aggregated_readers,latency_mean_us,2424.501856,us,mixto(finito+NaN),writers=1 readers=1
2026-04-17T12:15:31Z,monitor,topic,air_quality_raw_fwd,aggregated_writers,-,publication_throughput_sum_Bps,109196.693657,B/s,mixto(finito+NaN),n_writers=1
2026-04-17T12:15:31Z,monitor,topic,air_quality_raw_fwd,-,aggregated_readers,subscription_throughput_sum_Bps,43401.160386,B/s,mixto(finito+NaN),n_readers=1
2026-04-17T12:15:31Z,monitor,topic,air_quality_raw_fwd,aggregated_writers,-,resent_datas_sum,,packets,NaN,n_writers=1
2026-04-17T12:15:31Z,monitor,topic,air_quality_raw,aggregated_writers,aggregated_readers,latency_mean_us,560.361801,us,mixto(finito+NaN),writers=3 readers=2
2026-04-17T12:15:31Z,monitor,topic,air_quality_raw,aggregated_writers,-,publication_throughput_sum_Bps,4574.549454,B/s,mixto(finito+NaN),n_writers=3
2026-04-17T12:15:31Z,monitor,topic,air_quality_raw,-,aggregated_readers,subscription_throughput_sum_Bps,198511.245941,B/s,mixto(finito+NaN),n_readers=2
2026-04-17T12:15:31Z,monitor,topic,air_quality_raw,aggregated_writers,-,resent_datas_sum,,packets,NaN,n_writers=3
2026-04-17T12:16:01Z,monitor,topic,air_quality_agg,aggregated_writers,aggregated_readers,latency_mean_us,2852.260517,us,finito,writers=1 readers=1
2026-04-17T12:16:01Z,monitor,topic,air_quality_agg,aggregated_writers,-,publication_throughput_sum_Bps,321309.823094,B/s,finito,n_writers=1
2026-04-17T12:16:01Z,monitor,topic,air_quality_agg,-,aggregated_readers,subscription_throughput_sum_Bps,76574.111910,B/s,finito,n_readers=1
2026-04-17T12:16:01Z,monitor,topic,air_quality_agg,aggregated_writers,-,resent_datas_sum,,packets,NaN,n_writers=1
2026-04-17T12:16:01Z,monitor,topic,air_quality_raw_fwd,aggregated_writers,aggregated_readers,latency_mean_us,965.434131,us,finito,writers=1 readers=1
